,balance,stock,label
99,488000000,52666666,vip
100,276000000,27000000,normal
101,288000000,25000000,normal
102,704000000,46666666,diamond
103,684000000,50666666,diamond
104,716000000,42000000,diamond
105,744000000,74000000,vip
106,676000000,28666666,diamond
107,760000000,70000000,diamond
108,704000000,26666666,diamond
109,764000000,34666666,diamond
110,764000000,26666666,diamond
111,310000000,18000000,normal
112,284000000,19000000,normal
113,688000000,31333333,diamond
114,752000000,63000000,vip
115,600000000,45333333,diamond
116,262000000,30000000,normal
117,270000000,20000000,normal
118,276000000,26000000,normal
119,548000000,50666666,diamond
120,580000000,49333333,diamond
121,612000000,50000000,diamond
122,716000000,40666666,diamond
123,560000000,44666666,diamond
124,688000000,41333333,diamond
125,640000000,32000000,diamond
126,298000000,18000000,normal
127,640000000,18000000,vip
128,784000000,27333333,diamond
129,648000000,38000000,diamond
130,254000000,24500000,normal
131,660000000,42666666,diamond
132,672000000,26000000,diamond
133,768000000,66000000,vip
134,700000000,26000000,diamond
135,250000000,17500000,normal
136,628000000,42000000,diamond
137,264000000,34000000,normal
138,692000000,37333333,diamond
139,676000000,70000000,diamond
140,632000000,34666666,diamond
141,612000000,38000000,diamond
142,576000000,45333333,diamond
143,688000000,46666666,diamond
144,636000000,34000000,diamond
145,708000000,74000000,vip
146,684000000,34666666,diamond
147,684000000,38000000,diamond
148,560000000,48666666,diamond
149,752000000,77000000,vip
150,664000000,25333333,diamond
151,656000000,46000000,diamond
152,656000000,24666666,diamond
153,326000000,18000000,normal
154,756000000,65000000,vip
155,536000000,52000000,diamond
156,664000000,24666666,diamond
157,256000000,23500000,normal
158,668000000,43333333,diamond
159,720000000,26000000,diamond
160,604000000,46666666,diamond
161,608000000,52000000,diamond
162,282000000,23500000,normal
163,524000000,49333333,vip
164,704000000,46666666,vip
165,648000000,30000000,diamond
166,764000000,30666666,vip
167,580000000,43333333,diamond
168,788000000,66000000,vip
169,764000000,30666666,diamond
170,716000000,42666666,diamond
171,284000000,21500000,normal
172,588000000,47333333,diamond
173,688000000,41333333,diamond
174,276000000,30500000,normal
175,296000000,23500000,normal
176,240000000,28500000,normal
177,788000000,78000000,vip
178,776000000,63000000,vip
179,676000000,52666666,diamond
180,270000000,24500000,normal
181,656000000,26000000,diamond
182,716000000,40000000,diamond
183,724000000,30000000,diamond
184,640000000,30666666,diamond
185,704000000,47333333,diamond
186,612000000,50666666,diamond
187,266000000,22000000,normal
188,736000000,36666666,diamond
189,286000000,18000000,normal
190,776000000,34666666,diamond
191,260000000,32000000,normal
192,612000000,39333333,diamond
193,504000000,52000000,diamond
194,258000000,23000000,normal
195,720000000,34000000,diamond
196,700000000,38000000,diamond
197,306000000,19000000,normal
198,720000000,27333333,diamond
199,680000000,37333333,diamond
200,728000000,42666666,diamond
201,644000000,46666666,diamond
202,256000000,27000000,normal
203,664000000,32666666,diamond
204,792000000,66000000,vip
205,784000000,66000000,vip
206,680000000,26666666,diamond
207,298000000,24500000,normal
208,656000000,29333333,diamond
209,688000000,23333333,diamond
210,684000000,30000000,diamond
211,324000000,17500000,normal
212,528000000,53333333,diamond
213,588000000,36000000,diamond
214,620000000,37333333,diamond
215,584000000,48666666,diamond
216,752000000,79000000,vip
217,536000000,46000000,diamond
218,312000000,20500000,normal
219,330000000,17500000,normal
220,244000000,30500000,normal
221,740000000,29333333,diamond
222,700000000,40666666,diamond
223,676000000,46000000,diamond
224,276000000,22000000,normal
225,796000000,58000000,vip
226,298000000,20000000,normal
227,720000000,38666666,diamond
228,784000000,77000000,vip
229,792000000,30000000,diamond
230,796000000,68000000,vip
231,768000000,36000000,diamond
232,668000000,48666666,diamond
233,692000000,33333333,diamond
234,246000000,22500000,normal
235,716000000,36666666,diamond
236,760000000,32666666,diamond
237,796000000,33333333,diamond
238,728000000,35333333,diamond
239,700000000,26000000,diamond
240,584000000,38666666,diamond
241,720000000,75000000,vip
242,624000000,38666666,diamond
243,748000000,41333333,diamond
244,772000000,30666666,diamond
245,736000000,36000000,diamond
246,640000000,22500000,vip
247,640000000,44000000,diamond
248,780000000,61000000,vip
249,736000000,42000000,diamond
250,250000000,33500000,normal
251,312000000,17500000,normal
252,636000000,28000000,diamond
253,620000000,47333333,diamond
254,740000000,31333333,diamond
255,780000000,24000000,diamond
256,246000000,26500000,normal
257,724000000,43333333,diamond
258,676000000,49333333,diamond
259,242000000,28500000,normal
260,248000000,35000000,normal
261,704000000,49333333,diamond
262,274000000,17500000,normal
263,708000000,34000000,diamond
264,248000000,33000000,normal
265,688000000,48000000,diamond
266,302000000,22000000,normal
267,712000000,38000000,diamond
268,250000000,32000000,normal
269,300000000,24000000,normal
270,292000000,22000000,normal
271,584000000,43333333,diamond
272,270000000,32500000,normal
273,752000000,34000000,diamond
274,688000000,34000000,diamond
275,772000000,32666666,diamond
276,580000000,42666666,diamond
277,262000000,29500000,normal
278,780000000,29500000,vip
279,254000000,18000000,normal
280,560000000,51333333,vip
281,716000000,26000000,diamond
282,684000000,33333333,vip
283,792000000,26666666,diamond
284,692000000,48666666,diamond
285,242000000,26000000,normal
286,244000000,22000000,normal
287,496000000,53333333,diamond
288,264000000,23000000,normal
289,240000000,37000000,normal
290,288000000,28000000,normal
291,764000000,29333333,diamond
292,290000000,20500000,normal
293,272000000,25500000,normal
294,580000000,40000000,diamond
295,302000000,19500000,normal
296,258000000,22500000,normal
297,242000000,35500000,normal
298,800000000,29500000,vip
299,290000000,20500000,normal
300,752000000,63000000,vip
301,290000000,22500000,normal
302,764000000,67000000,vip
303,592000000,48000000,diamond
304,716000000,33333333,diamond
305,724000000,35333333,diamond
306,784000000,24666666,diamond
307,788000000,73000000,vip
308,608000000,40000000,diamond
309,246000000,34000000,normal
310,652000000,50000000,diamond
311,724000000,75000000,vip
312,732000000,37333333,diamond
313,776000000,66000000,vip
314,266000000,23500000,normal
315,676000000,41333333,diamond
316,644000000,50666666,diamond
317,314000000,18500000,normal
318,600000000,41333333,diamond
319,636000000,30000000,diamond
320,740000000,26000000,diamond
321,608000000,50000000,diamond
322,772000000,29500000,vip
323,270000000,27500000,normal
324,592000000,39333333,diamond
325,676000000,43333333,diamond
326,660000000,36666666,diamond
327,652000000,30666666,diamond
328,500000000,52000000,diamond
329,640000000,43333333,diamond
330,784000000,76000000,vip
331,652000000,43333333,diamond
332,780000000,24000000,diamond
333,588000000,52666666,diamond
334,708000000,24666666,diamond
335,308000000,21500000,normal
336,248000000,24000000,normal
337,768000000,75000000,vip
338,528000000,49333333,diamond
339,250000000,23500000,normal
340,712000000,73000000,vip
341,700000000,41333333,diamond
342,648000000,46666666,diamond
343,300000000,20500000,normal
344,608000000,47333333,diamond
345,636000000,30666666,diamond
346,768000000,65000000,vip
347,704000000,78000000,vip
348,600000000,38666666,diamond
349,256000000,33500000,normal
350,240000000,35000000,normal
351,708000000,46666666,diamond
352,628000000,52000000,diamond
353,652000000,33333333,diamond
354,256000000,32000000,normal
355,588000000,48666666,diamond
356,544000000,45333333,diamond
357,282000000,23000000,normal
358,740000000,40666666,diamond
359,592000000,36666666,diamond
360,266000000,32000000,normal
361,520000000,53333333,diamond
362,608000000,32666666,diamond
363,240000000,32000000,normal
364,768000000,32666666,diamond
365,298000000,24500000,vip
366,592000000,50000000,diamond
367,274000000,29500000,vip
368,640000000,52000000,diamond
369,724000000,78000000,vip
370,800000000,26000000,diamond
371,266000000,17500000,normal
372,736000000,25333333,diamond
373,752000000,29333333,diamond
374,540000000,48000000,diamond
375,680000000,29333333,diamond
376,294000000,17500000,normal
377,262000000,26000000,normal
378,716000000,31333333,diamond
379,744000000,31333333,diamond
380,796000000,29500000,vip
381,768000000,34666666,diamond
382,240000000,24000000,normal
383,584000000,45333333,diamond
384,720000000,42666666,diamond
385,258000000,34000000,normal
386,280000000,26000000,normal
387,636000000,31333333,diamond
388,728000000,41333333,diamond
389,548000000,51333333,diamond
390,304000000,22500000,normal
391,492000000,53333333,diamond
392,276000000,17500000,normal
393,756000000,38666666,diamond
394,294000000,22500000,normal
395,672000000,32000000,diamond
396,536000000,44666666,diamond
397,248000000,22000000,normal
398,740000000,36666666,diamond
399,756000000,40000000,diamond
400,704000000,36666666,diamond
401,496000000,52666666,diamond
402,282000000,29500000,normal
403,688000000,27333333,diamond
404,784000000,78000000,vip
405,264000000,27000000,normal
406,696000000,27333333,diamond
407,720000000,74000000,vip
408,272000000,20500000,normal
409,278000000,25500000,normal
410,784000000,34666666,diamond
411,272000000,27000000,normal
412,588000000,39333333,diamond
413,258000000,24000000,normal
414,780000000,71000000,vip
415,784000000,70000000,vip
416,300000000,18000000,normal
417,700000000,35333333,diamond
418,696000000,24000000,diamond
419,768000000,38000000,diamond
420,772000000,80000000,vip
421,732000000,78000000,vip
422,656000000,49333333,diamond
423,708000000,36000000,diamond
424,248000000,36000000,normal
425,712000000,78000000,vip
426,260000000,29500000,normal
427,632000000,40000000,diamond
428,568000000,41333333,diamond
429,520000000,53333333,diamond
430,680000000,26000000,diamond
431,700000000,79000000,vip
432,596000000,45333333,diamond
433,788000000,29333333,diamond
434,272000000,30500000,normal
435,240000000,28000000,normal
436,604000000,51333333,diamond
437,732000000,80000000,vip
438,628000000,52000000,diamond
439,680000000,26666666,diamond
440,584000000,50666666,diamond
441,752000000,74000000,vip
442,264000000,24000000,normal
443,584000000,36666666,diamond
444,668000000,32000000,diamond
445,708000000,76000000,vip
446,250000000,25000000,normal
447,708000000,46666666,diamond
448,788000000,76000000,vip
449,672000000,31333333,diamond
450,696000000,23333333,diamond
451,700000000,24666666,diamond
452,250000000,22500000,normal
453,760000000,39333333,diamond
454,312000000,19000000,normal
455,544000000,50000000,diamond
456,712000000,39333333,diamond
457,552000000,51333333,diamond
458,704000000,42000000,diamond
459,280000000,25000000,normal
460,632000000,44000000,diamond
461,788000000,61000000,vip
462,704000000,49333333,diamond
463,660000000,34000000,diamond
464,270000000,19500000,normal
465,692000000,32000000,diamond
466,270000000,20000000,normal
467,640000000,32000000,diamond
468,772000000,27333333,diamond
469,596000000,53333333,diamond
470,246000000,23000000,normal
471,744000000,74000000,vip
472,284000000,23500000,normal
473,272000000,32000000,normal
474,660000000,30000000,diamond
475,748000000,80000000,vip
476,252000000,21000000,normal
477,652000000,47333333,diamond
478,788000000,76000000,vip
479,780000000,76000000,vip
480,792000000,29500000,vip
481,288000000,25000000,normal
482,696000000,50666666,diamond
483,680000000,50666666,diamond
484,568000000,52666666,diamond
485,776000000,25333333,diamond
486,752000000,29500000,vip
487,624000000,42666666,diamond
488,322000000,17500000,normal
489,272000000,24500000,normal
490,656000000,34000000,diamond
491,668000000,40000000,diamond
492,576000000,53333333,diamond
493,592000000,36666666,diamond
494,744000000,72000000,vip
495,254000000,30500000,normal
496,552000000,43333333,diamond
497,276000000,17500000,normal
498,748000000,40666666,diamond
499,250000000,27000000,normal
500,584000000,40000000,diamond
501,748000000,41333333,diamond
502,280000000,22000000,normal
503,330000000,17500000,normal
504,780000000,23333333,diamond
505,648000000,44000000,diamond
506,248000000,35500000,normal
507,680000000,46000000,diamond
508,748000000,28666666,diamond
509,688000000,26000000,diamond
510,286000000,28500000,normal
511,780000000,35333333,diamond
512,700000000,30666666,diamond
513,656000000,36666666,diamond
514,792000000,60000000,vip
515,640000000,34000000,diamond
516,728000000,34666666,diamond
517,246000000,23500000,normal
518,788000000,60000000,vip
519,636000000,32000000,diamond
520,564000000,52000000,vip
521,544000000,51333333,vip
522,628000000,36000000,diamond
523,260000000,26500000,normal
524,760000000,28000000,diamond
525,258000000,30500000,normal
526,636000000,49333333,diamond
527,298000000,24000000,normal
528,596000000,41333333,diamond
529,548000000,52666666,diamond
530,572000000,47333333,diamond
531,764000000,26000000,diamond
532,652000000,43333333,diamond
533,788000000,34666666,diamond
534,652000000,28666666,diamond
535,792000000,26666666,diamond
536,644000000,34000000,diamond
537,752000000,40666666,diamond
538,262000000,23500000,normal
539,736000000,28666666,diamond
540,792000000,25333333,diamond
541,700000000,24000000,diamond
542,240000000,22000000,normal
543,728000000,25333333,diamond
544,784000000,62000000,vip
545,262000000,30500000,normal
546,684000000,39333333,diamond
547,294000000,26000000,normal
548,760000000,36666666,diamond
549,264000000,24000000,normal
550,696000000,38666666,diamond
551,260000000,28000000,normal
552,632000000,32000000,diamond
553,278000000,27000000,normal
554,784000000,35333333,diamond
555,704000000,40000000,diamond
556,584000000,41333333,diamond
557,788000000,63000000,vip
558,672000000,28000000,diamond
559,632000000,42666666,diamond
560,248000000,36500000,normal
561,248000000,26500000,normal
562,792000000,53000000,vip
563,244000000,34500000,normal
564,648000000,37333333,diamond
565,752000000,41333333,diamond
566,588000000,50000000,diamond
567,672000000,40000000,diamond
568,632000000,50666666,diamond
569,314000000,19500000,normal
570,624000000,36666666,diamond
571,296000000,18000000,normal
572,556000000,45333333,diamond
573,656000000,38666666,diamond
574,676000000,23333333,diamond
575,788000000,70000000,vip
576,788000000,32666666,diamond
577,246000000,23500000,normal
578,636000000,44000000,diamond
579,660000000,28666666,diamond
580,728000000,40000000,diamond
581,248000000,31500000,normal
582,312000000,20000000,normal
583,266000000,18500000,normal
584,768000000,70000000,vip
585,242000000,24000000,normal
586,776000000,70000000,vip
587,640000000,40000000,diamond
588,776000000,35333333,diamond
589,752000000,74000000,vip
590,796000000,30666666,diamond
591,280000000,29000000,normal
592,282000000,24500000,normal
593,768000000,38666666,diamond
594,596000000,46666666,diamond
595,252000000,28500000,normal
596,300000000,24500000,normal
597,720000000,29333333,diamond
598,744000000,27333333,diamond
599,772000000,76000000,vip
600,242000000,36000000,normal
601,268000000,17500000,normal
602,736000000,25333333,vip
603,576000000,39333333,vip
604,244000000,20500000,normal
605,748000000,35333333,diamond
606,296000000,18500000,normal
607,260000000,26500000,normal
608,772000000,72000000,vip
609,764000000,34666666,diamond
610,728000000,36000000,diamond
611,796000000,66000000,vip
612,616000000,47333333,diamond
613,656000000,44666666,diamond
614,608000000,46666666,diamond
615,700000000,35333333,diamond
616,780000000,77000000,vip
617,704000000,25333333,diamond
618,744000000,32000000,diamond
619,788000000,65000000,vip
620,644000000,52000000,diamond
621,326000000,17500000,normal
622,792000000,58000000,vip
623,244000000,30000000,normal
624,572000000,44666666,diamond
625,310000000,19000000,normal
626,258000000,30500000,normal
627,262000000,21500000,normal
628,584000000,46666666,diamond
629,784000000,26000000,diamond
630,692000000,36666666,diamond
631,800000000,54000000,vip
632,592000000,36666666,diamond
633,270000000,22500000,normal
634,596000000,50666666,diamond
635,292000000,23000000,normal
636,260000000,23500000,normal
637,676000000,50000000,diamond
638,652000000,33333333,diamond
639,644000000,47333333,diamond
640,282000000,25000000,normal
641,696000000,42666666,diamond
642,298000000,25500000,normal
643,278000000,27000000,normal
644,548000000,52000000,diamond
645,270000000,32500000,normal
646,278000000,28500000,normal
647,262000000,24000000,normal
648,552000000,48000000,diamond
649,676000000,40666666,diamond
650,780000000,76000000,vip
651,736000000,35333333,diamond
652,268000000,20000000,normal
653,728000000,27333333,diamond
654,262000000,21000000,normal
655,748000000,34666666,diamond
656,664000000,40000000,diamond
657,552000000,49333333,diamond
658,240000000,25500000,normal
659,250000000,35500000,normal
660,556000000,42000000,diamond
661,278000000,20500000,normal
662,250000000,28000000,normal
663,736000000,78000000,vip
664,270000000,22500000,normal
665,744000000,74000000,vip
666,688000000,30666666,diamond
667,792000000,26000000,diamond
668,620000000,39333333,diamond
669,242000000,23000000,normal
670,256000000,20000000,normal
671,270000000,17500000,normal
672,800000000,53000000,vip
673,704000000,26666666,diamond
674,724000000,23333333,diamond
675,246000000,24500000,normal
676,294000000,18000000,normal
677,260000000,22000000,normal
678,584000000,43333333,diamond
679,242000000,25500000,normal
680,768000000,65000000,vip
681,724000000,76000000,vip
682,604000000,52666666,diamond
683,278000000,20500000,normal
684,728000000,80000000,vip
685,572000000,40000000,diamond
686,612000000,45333333,diamond
687,788000000,60000000,vip
688,250000000,28500000,normal
689,270000000,21500000,normal
690,668000000,32666666,diamond
691,716000000,45333333,diamond
692,788000000,55000000,vip
693,748000000,36666666,diamond
694,296000000,24000000,normal
695,572000000,53333333,diamond
696,288000000,22000000,normal
697,652000000,39333333,diamond
698,314000000,18000000,normal
699,568000000,44000000,diamond
700,296000000,22500000,normal
701,596000000,49333333,diamond
702,612000000,36666666,diamond
703,616000000,35333333,diamond
704,776000000,66000000,vip
705,612000000,48000000,diamond
706,712000000,38000000,diamond
707,664000000,43333333,diamond
708,672000000,34000000,diamond
709,252000000,32000000,vip
710,264000000,17500000,vip
711,664000000,52666666,diamond
712,696000000,25333333,diamond
713,756000000,63000000,vip
714,304000000,21000000,normal
715,668000000,32666666,diamond
716,764000000,34666666,diamond
717,516000000,53333333,diamond
718,240000000,20500000,normal
719,576000000,46000000,diamond
720,780000000,32666666,diamond
721,704000000,23333333,diamond
722,568000000,50666666,diamond
723,240000000,38000000,normal
724,668000000,23333333,diamond
725,564000000,50000000,diamond
726,688000000,41333333,diamond
727,616000000,46666666,diamond
728,796000000,72000000,vip
729,712000000,46666666,diamond
730,552000000,42666666,diamond
731,788000000,62000000,vip
732,258000000,30500000,normal
733,772000000,60000000,vip
734,270000000,20000000,normal
735,644000000,30666666,diamond
736,696000000,40666666,diamond
737,568000000,40000000,diamond
738,254000000,30500000,normal
739,704000000,77000000,vip
740,800000000,64000000,vip
741,286000000,24500000,normal
742,252000000,24500000,normal
743,796000000,61000000,vip
744,700000000,25333333,diamond
745,764000000,32000000,diamond
746,736000000,44000000,diamond
747,728000000,69000000,vip
748,740000000,23333333,diamond
749,258000000,29000000,normal
750,780000000,74000000,vip
751,748000000,68000000,vip
752,264000000,28500000,normal
753,240000000,25500000,normal
754,768000000,24666666,diamond
755,668000000,36000000,diamond
756,624000000,31333333,diamond
757,688000000,42666666,diamond
758,304000000,20500000,normal
759,700000000,28666666,diamond
760,752000000,79000000,vip
761,660000000,44000000,diamond
762,616000000,37333333,diamond
763,784000000,31333333,diamond
764,286000000,21500000,normal
765,286000000,17500000,normal
766,696000000,33333333,diamond
767,784000000,62000000,vip
768,310000000,21500000,normal
769,260000000,19500000,normal
770,684000000,40000000,diamond
771,708000000,78000000,vip
772,688000000,50666666,diamond
773,564000000,52000000,diamond
774,262000000,18500000,normal
775,620000000,32000000,diamond
776,696000000,25333333,diamond
777,604000000,43333333,diamond
778,318000000,17500000,normal
779,608000000,52000000,diamond
780,712000000,46000000,diamond
781,600000000,46000000,diamond
782,720000000,25333333,diamond
783,720000000,41333333,diamond
784,692000000,35333333,diamond
785,780000000,56000000,vip
786,278000000,26000000,normal
787,264000000,17500000,normal
788,302000000,20000000,normal
789,728000000,42666666,diamond
790,756000000,36666666,diamond
791,244000000,19000000,normal
792,556000000,50000000,diamond
793,740000000,24666666,diamond
794,292000000,25000000,normal
795,644000000,44666666,diamond
796,250000000,36500000,normal
797,604000000,41333333,diamond
798,788000000,65000000,vip
799,640000000,28000000,diamond
800,740000000,71000000,vip
801,320000000,17500000,normal
802,740000000,40000000,diamond
803,272000000,30500000,normal
804,788000000,26666666,diamond
805,736000000,41333333,diamond
806,684000000,42666666,diamond
807,796000000,60000000,vip
808,608000000,35333333,diamond
809,772000000,24666666,diamond
810,700000000,76000000,vip
811,592000000,40000000,diamond
812,688000000,32000000,diamond
813,306000000,18500000,normal
814,748000000,67000000,vip
815,612000000,49333333,diamond
816,284000000,18500000,normal
817,612000000,42666666,diamond
818,616000000,42000000,diamond
819,296000000,23000000,normal
820,728000000,24666666,diamond
821,540000000,46666666,diamond
822,568000000,46000000,diamond
823,756000000,32000000,diamond
824,246000000,29500000,normal
825,728000000,40000000,diamond
826,636000000,47333333,diamond
827,248000000,26500000,normal
828,740000000,43333333,diamond
829,656000000,31333333,diamond
830,252000000,33500000,normal
831,242000000,22500000,normal
832,240000000,34500000,normal
833,524000000,53333333,diamond
834,780000000,75000000,vip
835,668000000,38000000,diamond
836,284000000,23000000,normal
837,732000000,79000000,vip
838,640000000,37333333,diamond
839,636000000,50666666,diamond
840,624000000,31333333,diamond
841,668000000,30000000,diamond
842,312000000,20000000,normal
843,268000000,29500000,normal
844,740000000,79000000,vip
845,258000000,20000000,normal
846,684000000,24666666,diamond
847,580000000,42000000,diamond
848,796000000,65000000,vip
849,660000000,29333333,vip
850,656000000,43333333,vip
851,752000000,79000000,vip
852,278000000,19000000,normal
853,612000000,42666666,diamond
854,800000000,70000000,vip
855,264000000,22500000,normal
856,248000000,18000000,normal
857,656000000,32000000,diamond
858,708000000,38000000,diamond
859,728000000,34000000,diamond
860,252000000,34500000,normal
861,276000000,19500000,normal
862,732000000,26666666,diamond
863,728000000,32666666,diamond
864,640000000,27333333,diamond
865,532000000,48666666,diamond
866,262000000,26500000,normal
867,592000000,36000000,diamond
868,708000000,24666666,diamond
869,704000000,40000000,diamond
870,712000000,27333333,diamond
871,668000000,36000000,diamond
872,784000000,66000000,vip
873,740000000,42000000,diamond
874,604000000,52000000,diamond
875,624000000,50000000,diamond
876,668000000,28000000,diamond
877,306000000,22500000,normal
878,740000000,30666666,diamond
879,596000000,53333333,diamond
880,308000000,23000000,normal
881,800000000,57000000,vip
882,608000000,34666666,diamond
883,732000000,80000000,vip
884,256000000,21500000,normal
885,764000000,34000000,diamond
886,740000000,39333333,diamond
887,644000000,31333333,diamond
888,752000000,30000000,diamond
889,740000000,34666666,diamond
890,252000000,22000000,normal
891,708000000,32666666,diamond
892,576000000,48666666,diamond
893,316000000,20000000,normal
894,632000000,49333333,diamond
895,656000000,34000000,diamond
896,288000000,21000000,normal
897,680000000,50666666,diamond
898,716000000,45333333,diamond
899,720000000,30000000,diamond
900,292000000,19500000,normal
901,588000000,46666666,diamond
902,744000000,79000000,vip
903,676000000,38000000,diamond
904,652000000,52000000,diamond
905,496000000,51333333,diamond
906,314000000,19500000,normal
907,536000000,48666666,diamond
908,644000000,31333333,diamond
909,740000000,69000000,vip
910,612000000,50000000,diamond
911,668000000,26000000,diamond
912,720000000,42666666,diamond
913,312000000,20000000,normal
914,580000000,50666666,diamond
915,672000000,42000000,diamond
916,254000000,30500000,normal
917,264000000,29000000,normal
918,254000000,33000000,normal
919,660000000,31333333,diamond
920,752000000,24000000,diamond
921,728000000,38666666,diamond
922,760000000,34666666,diamond
923,244000000,18000000,normal
924,780000000,56000000,vip
925,624000000,38666666,diamond
926,568000000,48666666,diamond
927,712000000,25333333,diamond
928,752000000,31333333,diamond
929,516000000,50666666,diamond
930,282000000,29000000,normal
931,660000000,32666666,diamond
932,256000000,28500000,normal
933,272000000,18500000,normal
934,684000000,33333333,diamond
935,788000000,57000000,vip
936,700000000,49333333,diamond
937,688000000,43333333,diamond
938,620000000,38666666,diamond
939,688000000,48000000,diamond
940,780000000,28000000,diamond
941,688000000,24666666,diamond
942,242000000,33500000,normal
943,266000000,18500000,normal
944,254000000,19500000,normal
945,244000000,28500000,normal
946,636000000,42666666,diamond
947,246000000,36000000,normal
948,272000000,24500000,normal
949,628000000,36000000,diamond
950,716000000,79000000,vip
951,744000000,26666666,diamond
952,560000000,46666666,diamond
953,724000000,70000000,diamond
954,652000000,43333333,diamond
955,624000000,48000000,diamond
956,732000000,32000000,diamond
957,564000000,50666666,diamond
958,596000000,48000000,diamond
959,320000000,19000000,normal
960,688000000,24000000,diamond
961,688000000,47333333,diamond
962,676000000,44000000,diamond
963,632000000,29333333,diamond
964,756000000,24666666,diamond
965,760000000,34666666,diamond
966,752000000,28000000,diamond
967,672000000,48666666,diamond
968,568000000,50666666,diamond
969,564000000,46666666,diamond
970,240000000,21000000,normal
971,764000000,25333333,diamond
972,688000000,40666666,diamond
973,668000000,34000000,diamond
974,584000000,36666666,diamond
975,308000000,19000000,diamond
976,556000000,53333333,diamond
977,240000000,26500000,diamond
978,784000000,33333333,diamond
979,800000000,64000000,vip
980,660000000,50000000,diamond
981,284000000,22500000,normal
982,644000000,52000000,diamond
983,720000000,36666666,diamond
984,760000000,66000000,vip
985,648000000,41333333,diamond
986,684000000,37333333,diamond
987,636000000,39333333,diamond
988,274000000,19500000,normal
989,532000000,46666666,diamond
990,744000000,65000000,vip
991,748000000,38000000,diamond
992,764000000,80000000,vip
993,240000000,37500000,normal
994,588000000,45333333,diamond
995,656000000,28666666,diamond
996,304000000,22500000,normal
997,520000000,52000000,diamond
998,648000000,46000000,diamond
999,708000000,38666666,diamond
1000,616000000,44666666,diamond
1001,696000000,33333333,diamond
1002,256000000,28000000,normal
1003,728000000,29333333,diamond
1004,604000000,48000000,diamond
1005,620000000,52666666,diamond
1006,756000000,31333333,diamond
1007,696000000,24666666,diamond
1008,580000000,51333333,diamond
1009,568000000,44000000,diamond
1010,656000000,26000000,diamond
1011,244000000,18000000,normal
1012,684000000,50000000,diamond
1013,564000000,50000000,diamond
1014,672000000,30666666,diamond
1015,784000000,73000000,vip
1016,246000000,34500000,normal
1017,732000000,23333333,diamond
1018,708000000,34666666,diamond
1019,676000000,44000000,diamond
1020,242000000,19500000,normal
1021,572000000,47333333,diamond
1022,636000000,45333333,diamond
1023,776000000,66000000,vip
1024,752000000,31333333,diamond
1025,672000000,36666666,diamond
1026,680000000,34666666,diamond
1027,740000000,32000000,diamond
